Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Country,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,item_price,TotalSalesPerCountry
1285,ES-2014-1846006,2016-01-01,2016-01-03,First Class,ON-18715,Odella Nelson,Corporate,Paris,Ile-de-France,France,Central,OFF-BI-10002083,Office Supplies,Binders,"Acco Hole Reinforcements, Economy",26.64,4,0.0,2.28,6.66,858931.083
1286,ES-2014-1846006,2016-01-01,2016-01-03,First Class,ON-18715,Odella Nelson,Corporate,Paris,Ile-de-France,France,Central,OFF-AP-10000977,Office Supplies,Appliances,"Breville Blender, White",245.673,3,0.1,29.943,81.891,858931.083
1287,ES-2014-1846006,2016-01-01,2016-01-03,First Class,ON-18715,Odella Nelson,Corporate,Paris,Ile-de-France,France,Central,FUR-BO-10001405,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",674.244,6,0.1,217.224,112.37400000000001,858931.083
2531,ES-2015-1001989,2015-03-12,2015-03-15,First Class,MF-17665,Maureen Fritzler,Corporate,Berlin,Berlin,Germany,Central,OFF-BI-10002570,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",228.906,9,0.1,27.756,25.434,628840.0305
6048,ES-2015-1010958,2015-06-02,2015-06-07,Standard Class,LT-17110,Liz Thompson,Consumer,Deuil-la-Barre,Ile-de-France,France,Central,OFF-EN-10003465,Office Supplies,Envelopes,"Cameo Peel and Seal, Security-Tint",140.4,6,0.0,8.28,23.400000000000002,858931.083
6049,ES-2015-1010958,2015-06-02,2015-06-07,Standard Class,LT-17110,Liz Thompson,Consumer,Deuil-la-Barre,Ile-de-France,France,Central,OFF-BI-10004924,Office Supplies,Binders,"Cardinal 3-Hole Punch, Economy",57.6,2,0.0,25.92,28.8,858931.083
8484,ES-2015-1043483,2015-01-14,2015-01-19,Standard Class,SR-20425,Sharelle Roach,Home Office,Vienna,Vienna,Austria,Central,TEC-MA-10002918,Technology,Machines,"StarTech Card Printer, White",485.73,3,0.0,77.67,161.91,81162.0
8485,ES-2015-1043483,2015-01-14,2015-01-19,Standard Class,SR-20425,Sharelle Roach,Home Office,Vienna,Vienna,Austria,Central,TEC-PH-10003847,Technology,Phones,"Apple Headset, with Caller ID",439.56,6,0.0,65.88,73.26,81162.0
8486,ES-2015-1043483,2015-01-14,2015-01-19,Standard Class,SR-20425,Sharelle Roach,Home Office,Vienna,Vienna,Austria,Central,OFF-PA-10001650,Office Supplies,Paper,"Xerox Message Books, Premium",224.07,11,0.0,102.96,20.37,81162.0
9543,ES-2015-1058269,2015-12-18,2015-12-22,Standard Class,MM-18055,Michelle Moray,Consumer,Herford,North Rhine-Westphalia,Germany,Central,OFF-BI-10001685,Office Supplies,Binders,"Avery Index Tab, Durable",13.38,2,0.0,3.42,6.69,628840.0305
9544,ES-2015-1058269,2015-12-18,2015-12-22,Standard Class,MM-18055,Michelle Moray,Consumer,Herford,North Rhine-Westphalia,Germany,Central,TEC-MA-10002264,Technology,Machines,"Panasonic Printer, Durable",799.83,3,0.0,167.94,266.61,628840.0305
9545,ES-2015-1058269,2015-12-18,2015-12-22,Standard Class,MM-18055,Michelle Moray,Consumer,Herford,North Rhine-Westphalia,Germany,Central,TEC-PH-10004823,Technology,Phones,"Nokia Smart Phone, Full Size",1908.18,3,0.0,820.44,636.06000000000006,628840.0305
9546,ES-2015-1058269,2015-12-18,2015-12-22,Standard Class,MM-18055,Michelle Moray,Consumer,Herford,North Rhine-Westphalia,Germany,Central,OFF-ST-10000288,Office Supplies,Storage,"Fellowes Lockers, Industrial",748.116,4,0.1,282.516,187.029,628840.0305
6711,ES-2015-1084683,2015-07-13,2015-07-15,Second Class,FO-14305,Frank Olsen,Consumer,Remscheid,North Rhine-Westphalia,Germany,Central,TEC-AC-10000827,Technology,Accessories,"SanDisk Keyboard, Programmable",414.9,5,0.0,66.3,82.97999999999999,628840.0305
6712,ES-2015-1084683,2015-07-13,2015-07-15,Second Class,FO-14305,Frank Olsen,Consumer,Remscheid,North Rhine-Westphalia,Germany,Central,FUR-FU-10000287,Furniture,Furnishings,"Eldon Stacking Tray, Black",63.0,2,0.0,7.56,31.5,628840.0305
6777,ES-2015-1088527,2015-08-25,2015-08-30,Standard Class,BM-11785,Bryan Mills,Consumer,Montpellier,Languedoc-Roussillon-Midi-Pyrénées,France,Central,FUR-FU-10000039,Furniture,Furnishings,"Tenex Light Bulb, Duo Pack",75.96,4,0.0,9.0,18.99,858931.083
2433,ES-2015-1119145,2015-12-18,2015-12-25,Standard Class,JF-15490,Jeremy Farry,Consumer,Vienna,Vienna,Austria,Central,OFF-BI-10003724,Office Supplies,Binders,"Cardinal Index Tab, Economy",17.52,2,0.0,8.04,8.76,81162.0
4476,ES-2015-1122594,2015-01-20,2015-01-25,Standard Class,DK-12985,Darren Koutras,Consumer,Villiers-sur-Marne,Ile-de-France,France,Central,OFF-AR-10002094,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",58.44,2,0.0,7.56,29.22,858931.083
1392,ES-2015-1136913,2015-11-08,2015-11-14,Standard Class,AW-10930,Arthur Wiediger,Home Office,Hamburg,Hamburg,Germany,Central,OFF-PA-10002248,Office Supplies,Paper,"Green Bar Memo Slips, 8.5 x 11",84.36,4,0.0,41.28,21.09,628840.0305
4456,ES-2015-1137137,2015-06-08,2015-06-12,Standard Class,NK-18490,Neil Knudson,Home Office,Paris,Ile-de-France,France,Central,OFF-ST-10000430,Office Supplies,Storage,"Tenex File Cart, Blue",599.4,5,0.1,53.25,119.88,858931.083
7079,ES-2015-1138719,2015-01-11,2015-01-16,Standard Class,EM-13960,Eric Murdock,Consumer,Genoa,Liguria,Italy,South,OFF-BI-10001833,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",22.05,3,0.0,6.75,7.3500000000000005,289709.658
8530,ES-2015-1139004,2017-01-01,2017-01-04,Second Class,RD-19585,Rob Dowd,Consumer,Antwerp,Antwerp,Belgium,Central,OFF-FA-10002652,Office Supplies,Fasteners,"Stockwell Staples, Bulk Pack",31.23,3,0.0,12.78,10.41,49226.7
8531,ES-2015-1139004,2017-01-01,2017-01-04,Second Class,RD-19585,Rob Dowd,Consumer,Antwerp,Antwerp,Belgium,Central,OFF-AP-10000437,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",1583.82,3,0.0,126.63,527.93999999999994,49226.7
8532,ES-2015-1139004,2017-01-01,2017-01-04,Second Class,RD-19585,Rob Dowd,Consumer,Antwerp,Antwerp,Belgium,Central,OFF-PA-10004034,Office Supplies,Paper,"Green Bar Parchment Paper, 8.5 x 11",83.28,4,0.0,34.08,20.82,49226.7
6977,ES-2015-1140474,2015-04-30,2015-05-06,Standard Class,RD-19930,Russell D'Ascenzo,Consumer,Geneva,Geneva,Switzerland,Central,OFF-LA-10001284,Office Supplies,Labels,"Smead Round Labels, 5000 Label Set",14.58,2,0.0,0.72,7.29,24877.86
8119,ES-2015-1141056,2015-11-03,2015-11-09,Standard Class,PR-18880,Patrick Ryan,Consumer,Nuremberg,Bavaria,Germany,Central,FUR-CH-10001726,Furniture,Chairs,"Office Star Steel Folding Chair, Adjustable",593.46,7,0.1,250.53,84.78,628840.0305
9227,ES-2015-1196075,2015-12-09,2015-12-14,Standard Class,KS-16300,Karen Seio,Corporate,Argenteuil,Ile-de-France,France,Central,OFF-BI-10000440,Office Supplies,Binders,"Acco Index Tab, Economy",50.4,5,0.0,23.1,10.08,858931.083
9228,ES-2015-1196075,2015-12-09,2015-12-14,Standard Class,KS-16300,Karen Seio,Corporate,Argenteuil,Ile-de-France,France,Central,OFF-LA-10004020,Office Supplies,Labels,"Hon Color Coded Labels, 5000 Label Set",39.6,3,0.0,0.0,13.200000000000001,858931.083
9229,ES-2015-1196075,2015-12-09,2015-12-14,Standard Class,KS-16300,Karen Seio,Corporate,Argenteuil,Ile-de-France,France,Central,OFF-BI-10004628,Office Supplies,Binders,"Cardinal Binder, Durable",45.99,3,0.0,2.25,15.33,858931.083
5541,ES-2015-1205554,2015-11-01,2015-11-03,First Class,PF-19225,Phillip Flathmann,Consumer,Pozzuoli,Campania,Italy,South,OFF-SU-10004244,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip",81.9,3,0.0,3.24,27.3,289709.658
4374,ES-2015-1210983,2015-07-15,2015-07-21,Standard Class,PW-19030,Pauline Webber,Corporate,Ponferrada,Castile and León,Spain,South,FUR-FU-10002017,Furniture,Furnishings,"Rubbermaid Door Stop, Duo Pack",350.88,8,0.0,24.48,43.86,287146.68
2219,ES-2015-1222857,2015-10-01,2015-10-05,Standard Class,DP-13000,Darren Powers,Consumer,Toulouse,Languedoc-Roussillon-Midi-Pyrénées,France,Central,FUR-CH-10003248,Furniture,Chairs,"SAFCO Bag Chairs, Black",169.236,9,0.6,-182.034,18.804,858931.083
2220,ES-2015-1222857,2015-10-01,2015-10-05,Standard Class,DP-13000,Darren Powers,Consumer,Toulouse,Languedoc-Roussillon-Midi-Pyrénées,France,Central,OFF-BI-10003114,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy",31.455,9,0.5,-0.675,3.4949999999999997,858931.083
2221,ES-2015-1222857,2015-10-01,2015-10-05,Standard Class,DP-13000,Darren Powers,Consumer,Toulouse,Languedoc-Roussillon-Midi-Pyrénées,France,Central,FUR-CH-10002378,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",142.152,2,0.6,-95.988,71.076,858931.083
